sku,name,price,link
00020398,"
                                    Штани Turbat Prut Pro Mns                                ",2 995 грн,https://www.gorgany.com/shtany-turbat-prut-pro-mns.html
00018040,"
                                    Штани Turbat Cascade Mns                                 ",3 595 грн,https://www.gorgany.com/shtany-turbat-cascade-mns.html
00020399,"
                                    Штани Turbat Prut Pro Wms                                ",2 995 грн,https://www.gorgany.com/shtany-turbat-prut-pro-wms.html
00018041,"
                                    Штани Turbat Cascade Wms                                 ",3 595 грн,https://www.gorgany.com/shtany-turbat-cascade-wms.html
00013895,"
                                    Штани Turbat Odyssey Mns                                ",2 995 грн,https://www.gorgany.com/shtany-turbat-odissey-mns.html
00004002,"
                                    Штани Salewa Pedroc 3 DST Regular                                ",5 345 грн,https://www.gorgany.com/shtany-salewa-pedroc-3-dst-regular.html
00020427,"
                                    Штани Turbat Odyssey Lite Mns                                ",3 450 грн,https://www.gorgany.com/shtany-turbat-odyssey-lite-mns.html
00016136,"
                                    Штани Turbat Camp 2                                ",1 395 грн,https://www.gorgany.com/shtany-turbat-camp-2.html
00018037,"
                                    Штани Turbat Isla Pants                                ",4 595 грн,https://www.gorgany.com/shtany-turbat-isla-pants.html
00-00014072,"
                                    Штани Salewa Talvenо 2 DST Mns                                ",4 945 грн,https://www.gorgany.com/shtany-salewa-talvena-2-dst-mns.html
00019827,"
                                    Штани Mountain Equipment Mission Regular                                ",7 917 грн,https://www.gorgany.com/shtany-mountain-equipment-mission-regular.html
00016132,"
                                    Штани Turbat Montana Wmn                                ",2 850 грн,https://www.gorgany.com/shtany-turbat-montana-wmn.html
00020426,"
                                    Штани Turbat Odyssey Lite Wmn                                ",3 450 грн,https://www.gorgany.com/shtany-turbat-odyssey-lite-wmn.html
00024724,"
                                    Штани Salewa Lavaredo Hemp Mns                                ",4 845 грн,https://www.gorgany.com/shtany-salewa-lavaredo-hemp-mns.html
00003994,"
                                    Штани Salewa Pedroc 3 DST Regular Wmn                                ",5 085 грн,https://www.gorgany.com/shtany-salewa-pedroc-3-dst-regular-wmn.html
00019826,"
                                    Штани Mountain Equipment Mission Long                                ",7 917 грн,https://www.gorgany.com/shtany-mountain-equipment-mission-long.html
